model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,43,primevul_rq1_rq3.jsonl,all_correct_absent,500,53.2,57.0,3.8,34.2,28.57,40.6,-0.932,
llama31_it,43,primevul_rq1_rq3.jsonl,all_correct_present,500,53.2,57.4,4.2,34.6,28.57,41.45,-0.662,
llama31_it,43,primevul_rq1_rq3.jsonl,all_wrong_absent,500,53.2,45.6,-7.6,28.4,33.83,22.22,-1.392,
llama31_it,43,primevul_rq1_rq3.jsonl,all_wrong_present,500,53.2,42.2,-11.0,31.8,40.23,22.22,-1.04,
llama31_it,43,primevul_rq1_rq3.jsonl,mixed_absent,500,53.2,48.4,-4.8,27.6,30.45,24.36,-0.764,
llama31_it,43,primevul_rq1_rq3.jsonl,mixed_present,500,53.2,49.4,-3.8,31.0,32.71,29.06,-0.564,
llama31_it,43,primevul_rq1_rq3.jsonl,ALL,3000,53.2,50.0,-3.2,31.27,32.39,29.99,-0.8923,0
