model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
qwen25_it,42,primevul_rq2a.jsonl,rq2a_commit0,500,59.4,58.0,-1.4,21.4,19.19,24.63,0.392,
qwen25_it,42,primevul_rq2a.jsonl,rq2a_commit2,500,59.4,56.2,-3.2,33.6,30.98,37.44,0.812,
qwen25_it,42,primevul_rq2a.jsonl,rq2a_commit4,500,59.4,53.4,-6.0,30.8,30.98,30.54,0.816,
qwen25_it,42,primevul_rq2a.jsonl,rq2a_commit6,500,59.4,52.2,-7.2,36.8,37.04,36.45,0.864,
qwen25_it,42,primevul_rq2a.jsonl,ALL,2000,59.4,54.95,-4.45,30.65,29.55,32.27,0.721,0
