model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth1_correct,500,50.6,45.8,-4.8,8.4,13.04,3.64,0.004,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth1_wrong,500,50.6,58.4,7.8,9.0,1.19,17.0,-0.004,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth2_correct,500,50.6,49.6,-1.0,9.0,9.88,8.1,0.0,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth2_wrong,500,50.6,51.0,0.4,8.0,7.51,8.5,0.0,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth3_correct,500,50.6,58.2,7.6,10.8,3.16,18.62,-0.004,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth3_wrong,500,50.6,45.0,-5.6,10.0,15.42,4.45,0.004,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth4_correct,500,50.6,61.2,10.6,11.8,1.19,22.67,0.0,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth4_wrong,500,50.6,41.0,-9.6,12.4,21.74,2.83,-0.002,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth5_correct,500,50.6,70.8,20.2,21.4,1.19,42.11,0.0,
phi35_it,44,primevul_rq2b.jsonl,rq2b_auth5_wrong,500,50.6,27.0,-23.6,25.2,48.22,1.62,-0.002,
phi35_it,44,primevul_rq2b.jsonl,ALL,5000,50.6,50.8,0.2,12.6,12.25,12.96,-0.0004,0
