model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
mistral_it,42,primevul_rq2a.jsonl,rq2a_commit0,500,55.8,55.4,-0.4,0.4,0.72,0.0,-0.25,
mistral_it,42,primevul_rq2a.jsonl,rq2a_commit2,499,55.71,54.11,-1.6,3.21,4.32,1.81,-0.0962,
mistral_it,42,primevul_rq2a.jsonl,rq2a_commit4,497,56.14,55.53,-0.6,4.23,4.3,4.13,0.002,
mistral_it,42,primevul_rq2a.jsonl,rq2a_commit6,497,55.73,54.73,-1.01,2.21,2.89,1.36,0.161,
mistral_it,42,primevul_rq2a.jsonl,ALL,1993,55.85,54.94,-0.9,2.51,3.05,1.82,-0.0462,7
