model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
phi35_it,44,primevul_rq2a.jsonl,rq2a_commit0,500,50.6,50.6,0.0,0.0,0.0,0.0,0.0,
phi35_it,44,primevul_rq2a.jsonl,rq2a_commit2,500,50.6,50.6,0.0,1.2,1.19,1.21,-0.004,
phi35_it,44,primevul_rq2a.jsonl,rq2a_commit4,500,50.6,51.2,0.6,1.8,1.19,2.43,0.0,
phi35_it,44,primevul_rq2a.jsonl,rq2a_commit6,500,50.6,50.6,0.0,1.6,1.58,1.62,0.0,
phi35_it,44,primevul_rq2a.jsonl,ALL,2000,50.6,50.75,0.15,1.15,0.99,1.32,-0.001,0
