model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth1_correct,500,53.6,48.8,-4.8,28.8,31.34,25.86,-1.306,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth1_wrong,500,53.6,56.2,2.6,31.8,27.24,37.07,-1.03,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth2_correct,500,53.6,50.0,-3.6,28.8,30.22,27.16,-0.956,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth2_wrong,500,53.6,53.8,0.2,30.2,27.99,32.76,-0.946,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth3_correct,500,53.6,53.4,-0.2,31.0,29.1,33.19,-0.708,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth3_wrong,500,53.6,50.2,-3.4,28.2,29.48,26.72,-0.632,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth4_correct,500,53.6,57.6,4.0,32.4,26.49,39.22,-0.404,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth4_wrong,500,53.6,47.2,-6.4,30.4,34.33,25.86,-0.684,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth5_correct,500,53.6,57.8,4.2,33.0,26.87,40.09,-0.362,
llama31_it,44,primevul_rq2b.jsonl,rq2b_auth5_wrong,500,53.6,47.8,-5.8,29.8,33.21,25.86,-0.734,
llama31_it,44,primevul_rq2b.jsonl,ALL,5000,53.6,52.28,-1.32,30.44,29.63,31.38,-0.7762,0
