model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
phi35_it,44,primevul_rq1_rq3.jsonl,all_correct_absent,500,50.4,67.0,16.6,16.6,0.0,33.47,0.0,
phi35_it,44,primevul_rq1_rq3.jsonl,all_correct_present,500,50.4,81.0,30.6,30.6,0.0,61.69,0.004,
phi35_it,44,primevul_rq1_rq3.jsonl,all_wrong_absent,500,50.4,30.0,-20.4,20.4,40.48,0.0,0.0,
phi35_it,44,primevul_rq1_rq3.jsonl,all_wrong_present,500,50.4,15.4,-35.0,35.0,69.44,0.0,0.0,
phi35_it,44,primevul_rq1_rq3.jsonl,mixed_absent,500,50.4,51.6,1.2,2.0,0.79,3.23,0.0,
phi35_it,44,primevul_rq1_rq3.jsonl,mixed_present,500,50.4,51.6,1.2,8.0,6.75,9.27,0.0,
phi35_it,44,primevul_rq1_rq3.jsonl,ALL,3000,50.4,49.43,-0.97,18.77,19.58,17.94,0.0007,0
