model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,43,primevul_rq1_rq3.jsonl,all_correct_absent,500,49.6,46.2,-3.4,67.0,70.97,63.1,0.018,
llama31_it,43,primevul_rq1_rq3.jsonl,all_correct_present,500,49.6,46.8,-2.8,66.0,69.35,62.7,0.058,
llama31_it,43,primevul_rq1_rq3.jsonl,all_wrong_absent,500,49.6,58.8,9.2,70.0,61.29,78.57,0.09,
llama31_it,43,primevul_rq1_rq3.jsonl,all_wrong_present,500,49.6,52.8,3.2,70.0,67.34,72.62,0.134,
llama31_it,43,primevul_rq1_rq3.jsonl,mixed_absent,500,49.6,50.6,1.0,67.8,67.34,68.25,0.206,
llama31_it,43,primevul_rq1_rq3.jsonl,mixed_present,500,49.6,48.8,-0.8,70.4,71.77,69.05,0.138,
llama31_it,43,primevul_rq1_rq3.jsonl,ALL,3000,49.6,50.67,1.07,68.53,68.01,69.05,0.1073,0
