model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,44,primevul_rq1_rq3.jsonl,all_correct_absent,500,53.2,57.0,3.8,34.2,28.57,40.6,-0.972,
llama31_it,44,primevul_rq1_rq3.jsonl,all_correct_present,500,53.2,57.0,3.8,34.2,28.57,40.6,-0.664,
llama31_it,44,primevul_rq1_rq3.jsonl,all_wrong_absent,500,53.2,45.4,-7.8,28.6,34.21,22.22,-1.446,
llama31_it,44,primevul_rq1_rq3.jsonl,all_wrong_present,500,53.2,41.8,-11.4,32.2,40.98,22.22,-1.042,
llama31_it,44,primevul_rq1_rq3.jsonl,mixed_absent,500,53.2,48.4,-4.8,27.6,30.45,24.36,-0.766,
llama31_it,44,primevul_rq1_rq3.jsonl,mixed_present,500,53.2,49.2,-4.0,30.8,32.71,28.63,-0.596,
llama31_it,44,primevul_rq1_rq3.jsonl,ALL,3000,53.2,49.8,-3.4,31.27,32.58,29.77,-0.9143,0
