model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
qwen25_it,43,primevul_rq2a.jsonl,rq2a_commit0,500,59.8,58.6,-1.2,20.8,18.39,24.38,0.372,
qwen25_it,43,primevul_rq2a.jsonl,rq2a_commit2,500,59.8,56.4,-3.4,32.6,30.1,36.32,0.8,
qwen25_it,43,primevul_rq2a.jsonl,rq2a_commit4,500,59.8,53.6,-6.2,31.0,31.1,30.85,0.804,
qwen25_it,43,primevul_rq2a.jsonl,rq2a_commit6,500,59.8,52.0,-7.8,36.2,36.79,35.32,0.852,
qwen25_it,43,primevul_rq2a.jsonl,ALL,2000,59.8,55.15,-4.65,30.15,29.1,31.72,0.707,0
