model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,44,primevul_rq1_rq3.jsonl,all_correct_absent,500,53.0,57.2,4.2,34.2,28.3,40.85,-0.938,
llama31_it,44,primevul_rq1_rq3.jsonl,all_correct_present,500,53.0,57.6,4.6,34.6,28.3,41.7,-0.642,
llama31_it,44,primevul_rq1_rq3.jsonl,all_wrong_absent,500,53.0,45.6,-7.4,28.2,33.58,22.13,-1.446,
llama31_it,44,primevul_rq1_rq3.jsonl,all_wrong_present,500,53.0,42.2,-10.8,31.6,40.0,22.13,-1.038,
llama31_it,44,primevul_rq1_rq3.jsonl,mixed_absent,500,53.0,48.8,-4.2,27.4,29.81,24.68,-0.758,
llama31_it,44,primevul_rq1_rq3.jsonl,mixed_present,500,53.0,49.4,-3.6,30.8,32.45,28.94,-0.578,
llama31_it,44,primevul_rq1_rq3.jsonl,ALL,3000,53.0,50.13,-2.87,31.13,32.08,30.07,-0.9,0
