model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth1_correct,500,50.6,45.8,-4.8,8.4,13.04,3.64,0.004,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth1_wrong,500,50.6,58.6,8.0,9.2,1.19,17.41,-0.004,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth2_correct,500,50.6,49.6,-1.0,9.0,9.88,8.1,0.0,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth2_wrong,500,50.6,51.0,0.4,8.0,7.51,8.5,0.0,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth3_correct,500,50.6,58.0,7.4,10.6,3.16,18.22,-0.004,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth3_wrong,500,50.6,45.2,-5.4,9.8,15.02,4.45,0.004,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth4_correct,500,50.6,61.2,10.6,11.8,1.19,22.67,0.0,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth4_wrong,500,50.6,41.0,-9.6,12.0,21.34,2.43,-0.002,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth5_correct,500,50.6,70.8,20.2,21.4,1.19,42.11,0.0,
phi35_it,42,primevul_rq2b.jsonl,rq2b_auth5_wrong,500,50.6,27.2,-23.4,25.0,47.83,1.62,-0.002,
phi35_it,42,primevul_rq2b.jsonl,ALL,5000,50.6,50.84,0.24,12.52,12.13,12.91,-0.0004,0
