model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
llama31_it,43,primevul_rq2a.jsonl,rq2a_commit0,500,53.0,53.4,0.4,30.4,28.3,32.77,-1.494,
llama31_it,43,primevul_rq2a.jsonl,rq2a_commit2,500,53.0,54.2,1.2,29.6,26.79,32.77,-0.85,
llama31_it,43,primevul_rq2a.jsonl,rq2a_commit4,500,53.0,51.6,-1.4,28.6,28.3,28.94,-0.948,
llama31_it,43,primevul_rq2a.jsonl,rq2a_commit6,500,53.0,51.8,-1.2,29.6,29.06,30.21,-0.76,
llama31_it,43,primevul_rq2a.jsonl,ALL,2000,53.0,52.75,-0.25,29.55,28.11,31.17,-1.013,0
