model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
mistral_it,42,primevul_rq1_rq3.jsonl,all_correct_absent,500,59.2,57.6,-1.6,36.0,31.76,42.16,0.478,
mistral_it,42,primevul_rq1_rq3.jsonl,all_correct_present,500,59.2,58.8,-0.4,39.2,33.45,47.55,0.678,
mistral_it,42,primevul_rq1_rq3.jsonl,all_wrong_absent,499,59.12,45.29,-13.83,35.47,41.69,26.47,0.4309,
mistral_it,42,primevul_rq1_rq3.jsonl,all_wrong_present,499,59.12,41.28,-17.84,37.47,46.78,24.02,0.6052,
mistral_it,42,primevul_rq1_rq3.jsonl,mixed_absent,499,59.12,50.9,-8.22,23.85,27.12,19.12,0.3006,
mistral_it,42,primevul_rq1_rq3.jsonl,mixed_present,499,59.12,51.5,-7.62,28.06,30.17,25.0,0.3287,
mistral_it,42,primevul_rq1_rq3.jsonl,ALL,2996,59.15,50.9,-8.24,33.34,35.16,30.72,0.4703,4
