model,seed,source_file,condition,n,acc_r1,acc_r2,delta_acc,rev_pct,harm_pct,ben_pct,mean_dC,skipped
mistral_it,44,primevul_rq1_rq3.jsonl,all_correct_absent,500,56.2,57.0,0.8,25.6,22.06,30.14,-0.826,
mistral_it,44,primevul_rq1_rq3.jsonl,all_correct_present,500,56.2,60.2,4.0,28.8,22.06,37.44,-0.926,
mistral_it,44,primevul_rq1_rq3.jsonl,all_wrong_absent,499,56.31,44.09,-12.22,33.07,40.21,23.85,-0.489,
mistral_it,44,primevul_rq1_rq3.jsonl,all_wrong_present,499,56.31,41.28,-15.03,37.47,46.62,25.69,-0.6393,
mistral_it,44,primevul_rq1_rq3.jsonl,mixed_absent,496,56.45,55.85,-0.6,3.02,3.21,2.78,-0.0121,
mistral_it,44,primevul_rq1_rq3.jsonl,mixed_present,499,56.11,54.31,-1.8,5.81,6.79,4.57,0.1603,
mistral_it,44,primevul_rq1_rq3.jsonl,ALL,2993,56.26,52.12,-4.14,22.32,23.52,20.78,-0.4561,7
